id;name;description;photo_path
1;Polarizado Madrid Estratega;customized iniciativa;Madera
2;copy;deposit;Rústico
3;Distrito Librería;metódica Director neural;up
4;Guapa mindshare;primary;núcleo Electrónica Fiji
5;port;XSS holistic Castilla;Factores
6;Ladrillo División mesh;auxiliary redefine;Blanco
7;cliente synthesize;Quetzal overriding Guantes;cross-platform
8;sensor bypassing negocio;Expandido a;Diseñador SMS sticky
9;Inteligente;Contabilidad Bedfordshire;Account Respuesta
10;Gerente;Comunidad;Bicicleta Teclado payment
