id;name;description;engine;power;kms;color;doors;seats;building_date;price;offer
1;San deposit Berkshire;facilitate Toallas;one-to-one;35394;70175;Azul;39314;22526;2022-04-01T07:28:25;53206;false
2;Bicicleta;Mesa Nigeria;parse Bebes;90752;79748;Negro;30575;29527;2022-04-01T05:43:28;26525;false
3;Francia parsing 24;Rojo;generate efficient Diseñador;19967;56031;Gris;16026;61595;2022-04-01T14:04:14;7286;false
4;Compatible PCI multimedia;Sorprendente algoritmo;Entrada synthesizing Práctico;61791;44433;Violeta;30772;19288;2022-04-01T03:08:35;88672;false
5;Checa;Berkshire Opcional navigate;Coordinador 6th;1115;93461;Negro;89359;35017;2022-04-01T02:14:58;85616;true
6;Visionario Adelante;Acero;Castilla Guapo;10964;26624;Violeta;82143;30553;2022-04-01T00:55:49;11642;false
7;Práctico;copy transmit;Bajada Inversor;54057;91207;Verde;8541;30116;2022-04-01T08:22:55;80710;false
8;Murcia Refinado bandwidth;Account Bedfordshire;orientada;15134;6213;Verde;14199;15735;2022-04-01T16:28:05;57887;true
9;Madera Plástico Ejecutivo;Rústico;parse Buckinghamshire usuario;72510;58215;Rojo;59302;62854;2022-04-01T04:11:22;98618;false
10;1080p Queso;quantify;aprovechar program Canarias;77565;6756;Verde;37375;40416;2022-04-01T19:09:19;17521;false
