id;name;description;photo_path
1;Mesa;open-source;Implementación
2;Guapa metrics e-commerce;Gerente;XML fritas Cantabria
3;Acero transmitting Comunidad;harness Baleares Gorro;Programa mesh
4;Diseñador array;Verde;Loan Videojuegos
5;Bedfordshire Cliente;Cara plug-and-play Amigable;Ergonómico Artesanal JSON
6;Loan connecting systems;networks;Avon XML
7;invoice Sorprendente Violeta;feed Informática;Ladrillo
8;Nacional;Blanco Gerente;Cataluña
9;Sabroso Camiseta Central;Dinamarca XML;Armenian
10;Cambridgeshire;circuit;5th
