id;name;description;photo_path;address
1;system;Decoración vertical e-commerce;aggregate Bedfordshire;Quinta Rojo
2;Operaciones;turn-key;reintermediate Planificador Urbanización;Patatas
3;Juguetería;Informática;de Progresivo;Metal Account Vía
4;IB;mobile Unidos reboot;Checking Auto Loan;invoice capacidad Compatible
5;Gris;Salud Papelería;Plástico optimize;Distrito Vía Futuro
6;Plástico card;Extremadura Moldovan Borders;EXE 24/7;Indonesia Música
7;THX Hormigon;Queso;Asistente holística;innovadora Interno
8;de e-commerce;Loan interfaces magnetic;deposit eyeballs Extrarradio;Dinánmico Artesanal
9;Taka conglomeración next-generation;metrics Extremadura;Patatas;Planificador SDD Zimbabwe
10;Account Increible;Parcela;Hecho;Ruanda Supervisor Sopa
